Year;Attribut; Value ;;;;;;;;;
1984;Number of people living in extreme poverty (people); 1 870 044 027 ;;1998;;; 926 510 911 ; 926 510 911 ;;;
1987;Number of people not in extreme poverty (people); 3 249 321 091 ;;1999; 1 731 887 450 ; 4 317 317 753 ; 942 612 901 ; 6 991 818 104 ;;;
1987;Number of people living in extreme poverty (people); 1 784 483 853 ;;2000;;; 958 976 935 ; 958 976 935 ;;;
1990;Number of people not in extreme poverty (people); 3 406 151 829 ;;2001;;; 975 923 211 ; 975 923 211 ;;;
1990;Number of people living in extreme poverty (people); 1 903 515 870 ;;2002; 1 611 410 403 ; 4 670 891 364 ; 993 360 510 ; 7 275 662 277 ;;;
1993;Number of people not in extreme poverty (people); 3 683 471 010 ;;2003;;; 1 011 019 145 ; 1 011 019 145 ;;;
1993;Number of people living in extreme poverty (people); 1 886 574 370 ;;2004;;; 1 028 856 170 ; 1 028 856 170 ;;;
1996;Number of people not in extreme poverty (people); 4 105 666 967 ;;2005; 1 352 824 439 ; 5 166 811 411 ; 1 046 630 228 ; 7 566 266 078 ;;;
1996;Number of people living in extreme poverty (people); 1 709 725 338 ;;2006;;; 1 062 352 905 ; 1 062 352 905 ;;;
1999;Number of people not in extreme poverty (people); 4 317 317 753 ;;2007;;; 1 075 253 827 ; 1 075 253 827 ;;;
1999;Number of people living in extreme poverty (people); 1 731 887 450 ;;2008; 1 223 559 278 ; 5 540 173 601 ; 1 087 041 440 ; 7 850 774 319 ;;;
2002;Number of people not in extreme poverty (people); 4 670 891 364 ;;2009;;; 1 099 780 003 ; 1 099 780 003 ;;;
2002;Number of people living in extreme poverty (people); 1 611 410 403 ;;2010; 1 090 738 722 ; 5 838 986 321 ; 1 115 296 615 ; 8 045 021 658 ;;;
2005;Number of people not in extreme poverty (people); 5 166 811 411 ;;2011; 962 943 534 ; 6 050 483 518 ; 1 133 257 483 ; 8 146 684 535 ;;;
2005;Number of people living in extreme poverty (people); 1 352 824 439 ;;2012; 908 480 058 ; 6 189 020 395 ; 1 151 323 220 ; 8 248 823 673 ;;;
2008;Number of people not in extreme poverty (people); 5 540 173 601 ;;2013; 794 920 051 ; 6 302 580 402 ; 1 169 486 367 ; 8 266 986 820 ;;;
2008;Number of people living in extreme poverty (people); 1 223 559 278 ;;2014;;; 1 187 704 906 ; 1 187 704 906 ;;;
2010;Number of people not in extreme poverty (people); 5 838 986 321 ;;2015; 733 477 316 ; 6 615 994 784 ; 1 205 758 259 ; 8 555 230 358 ;;;
2010;Number of people living in extreme poverty (people); 1 090 738 722 ;;2016;;; 1 224 028 832 ; 1 224 028 832 ;;;
2011;Number of people not in extreme poverty (people); 6 050 483 518 ;;2017;;; 1 242 504 017 ; 1 242 504 017 ;;;
2011;Number of people living in extreme poverty (people); 962 943 534 ;;Total général;35485183692;79403809887;28506820184;1,43396E+11;;;
2012;Number of people not in extreme poverty (people); 6 189 020 395 ;;Year;2015;;;;;;
2012;Number of people living in extreme poverty (people); 908 480 058 ;;;;;;;;;
2013;Number of people not in extreme poverty (people); 6 302 580 402 ;;Étiquettes de lignes;Somme de Value;;;;;;
2013;Number of people living in extreme poverty (people); 794 920 051 ;;Number of people living in extreme poverty (people);8,57%;;;;;;
2015;Number of people not in extreme poverty (people); 6 615 994 784 ;;Number of people not in extreme poverty (people);77,33%;;;;;;
2015;Number of people living in extreme poverty (people); 733 477 316 ;;Prevalence of depressive disorders (everyone);14,09%;;;;;;
1990;Prevalence of depressive disorders (everyone); 318 436 ;;Total général;100,00%;;;;;;
1991;Prevalence of depressive disorders (everyone); 329 045 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 382 545 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 440 382 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 456 917 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 471 475 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 486 916 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 499 770 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 509 695 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 503 305 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 501 129 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 506 530 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 537 767 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 573 188 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 590 950 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 623 488 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 639 957 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 656 547 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 689 212 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 714 860 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 745 998 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 782 022 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 814 832 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 852 849 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 884 405 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 906 133 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 932 189 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 967 281 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 60 014 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 60 792 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 61 486 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 62 077 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 62 698 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 63 248 ;;;;;Attribut;Prevalence of depressive disorders (everyone);;;
1996;Prevalence of depressive disorders (everyone); 63 748 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 64 410 ;;Attribut;(Plusieurs éléments);;Étiquettes de lignes;Somme de Value;;;
1998;Prevalence of depressive disorders (everyone); 68 924 ;;;;;2013; 1 169 486 367 ;;;
1999;Prevalence of depressive disorders (everyone); 69 165 ;;Étiquettes de lignes; Somme de Value ;;Total général; 1 169 486 367 ;;;
2000;Prevalence of depressive disorders (everyone); 65 373 ;;2013; 7 097 500 453 ;;;;;;
2001;Prevalence of depressive disorders (everyone); 65 718 ;;Total général; 7 097 500 453 ;;;;;;
2002;Prevalence of depressive disorders (everyone); 66 048 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 66 489 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 66 892 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 67 167 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 67 415 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 67 550 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 67 673 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 67 882 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 68 118 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 68 390 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 68 619 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 68 932 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 68 970 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 69 074 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 69 476 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 69 687 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 717 111 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 739 787 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 763 249 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 787 086 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 811 787 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 837 236 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 863 293 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 889 529 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 916 087 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 942 418 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 969 303 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 995 887 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 1 022 930 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 1 049 313 ;;;;;;Population 2015;;;
2004;Prevalence of depressive disorders (everyone); 1 075 467 ;;;;;Non prevalent population; 5 928 014 085 ;;;
2005;Prevalence of depressive disorders (everyone); 1 101 427 ;;;;;Prevalence of depressive disorders (everyone); 1 169 486 367 ;;;
2006;Prevalence of depressive disorders (everyone); 1 125 869 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 1 148 368 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 1 169 428 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 1 191 594 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 215 320 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 241 082 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 266 397 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 292 987 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 319 985 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 347 114 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 375 799 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 405 671 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 1 085 ;;Years;Nb people in extreme poverty (people);Nb people not in extreme poverty (people);Prevalence of depressive disorders (people);People (TOTAL);Prevalent Pops (% Total Pop);Prevalent Pops (% Total in poverty);Prevalent Pops (%  Not inpoverty)
1991;Prevalence of depressive disorders (everyone); 1 123 ;;1820; 964 925 108 ; 117 436 202 ;; 1 082 361 310 ; -   ;0,0 %;0,0 %
1992;Prevalence of depressive disorders (everyone); 1 157 ;;1850; 1 098 533 404 ; 164 148 670 ;; 1 262 682 074 ; -   ;0,0 %;0,0 %
1993;Prevalence of depressive disorders (everyone); 1 190 ;;1870; 1 154 404 857 ; 244 873 758 ;; 1 399 278 615 ; -   ;0,0 %;0,0 %
1994;Prevalence of depressive disorders (everyone); 1 221 ;;1890; 1 225 528 033 ; 331 686 749 ;; 1 557 214 782 ; -   ;0,0 %;0,0 %
1995;Prevalence of depressive disorders (everyone); 1 248 ;;1910; 1 295 000 000 ; 455 000 000 ;; 1 750 000 000 ; -   ;0,0 %;0,0 %
1996;Prevalence of depressive disorders (everyone); 1 273 ;;1929; 1 351 730 488 ; 693 247 557 ;; 2 044 978 045 ; -   ;0,0 %;0,0 %
1997;Prevalence of depressive disorders (everyone); 1 296 ;;1950; 1 596 420 000 ; 923 580 000 ;; 2 520 000 000 ; -   ;0,0 %;0,0 %
1998;Prevalence of depressive disorders (everyone); 1 315 ;;1960; 1 638 580 593 ; 1 387 422 349 ;; 3 026 002 942 ; -   ;0,0 %;0,0 %
1999;Prevalence of depressive disorders (everyone); 1 333 ;;1970; 1 766 226 097 ; 1 924 946 519 ;; 3 691 172 616 ; -   ;0,0 %;0,0 %
2000;Prevalence of depressive disorders (everyone); 1 346 ;;1980; 1 920 141 041 ; 2 519 491 424 ;; 4 439 632 465 ; -   ;0,0 %;0,0 %
2001;Prevalence of depressive disorders (everyone); 1 358 ;;1981; 1 909 109 363 ; 2 609 492 679 ;; 4 518 602 042 ; -   ;0,0 %;0,0 %
2002;Prevalence of depressive disorders (everyone); 1 366 ;;1984; 1 870 044 027 ; 2 895 613 535 ;; 4 765 657 562 ; -   ;0,0 %;0,0 %
2003;Prevalence of depressive disorders (everyone); 1 371 ;;1987; 1 784 483 853 ; 3 249 321 091 ;; 5 033 804 944 ; -   ;0,0 %;0,0 %
2004;Prevalence of depressive disorders (everyone); 1 375 ;;1990; 1 903 515 870 ; 3 406 151 829 ; 806 189 898 ; 5 309 667 699 ;15,2 %;42,4 %;23,7 %
2005;Prevalence of depressive disorders (everyone); 1 379 ;;1991; 1 903 515 870 ; 3 406 151 829 ; 821 474 786 ; 5 309 667 699 ;15,5 %;43,2 %;24,1 %
2006;Prevalence of depressive disorders (everyone); 1 383 ;;1992; 1 903 515 870 ; 3 406 151 829 ; 836 687 793 ; 5 309 667 699 ;15,8 %;44,0 %;24,6 %
2007;Prevalence of depressive disorders (everyone); 1 387 ;;1993; 1 886 574 370 ; 3 683 471 010 ; 851 476 617 ; 5 570 045 380 ;15,3 %;45,1 %;23,1 %
2008;Prevalence of depressive disorders (everyone); 1 391 ;;1994; 1 886 574 370 ; 3 683 471 010 ; 866 163 156 ; 5 570 045 380 ;15,6 %;45,9 %;23,5 %
2009;Prevalence of depressive disorders (everyone); 1 396 ;;1995; 1 886 574 370 ; 3 683 471 010 ; 880 715 784 ; 5 570 045 380 ;15,8 %;46,7 %;23,9 %
2010;Prevalence of depressive disorders (everyone); 1 402 ;;1996; 1 709 725 338 ; 4 105 666 967 ; 895 540 270 ; 5 815 392 305 ;15,4 %;52,4 %;21,8 %
2011;Prevalence of depressive disorders (everyone); 1 411 ;;1997; 1 709 725 338 ; 4 105 666 967 ; 910 893 998 ; 5 815 392 305 ;15,7 %;53,3 %;22,2 %
2012;Prevalence of depressive disorders (everyone); 1 420 ;;1998; 1 709 725 338 ; 4 105 666 967 ; 926 510 911 ; 5 815 392 305 ;15,9 %;54,2 %;22,6 %
2013;Prevalence of depressive disorders (everyone); 1 432 ;;1999; 1 731 887 450 ; 4 317 317 753 ; 942 612 901 ; 6 049 205 203 ;15,6 %;54,4 %;21,8 %
2014;Prevalence of depressive disorders (everyone); 1 444 ;;2000; 1 731 887 450 ; 4 317 317 753 ; 958 976 935 ; 6 049 205 203 ;15,9 %;55,4 %;22,2 %
2015;Prevalence of depressive disorders (everyone); 1 456 ;;2001; 1 731 887 450 ; 4 317 317 753 ; 975 923 211 ; 6 049 205 203 ;16,1 %;56,4 %;22,6 %
2016;Prevalence of depressive disorders (everyone); 1 469 ;;2002; 1 611 410 403 ; 4 670 891 364 ; 993 360 510 ; 6 282 301 767 ;15,8 %;61,6 %;21,3 %
2017;Prevalence of depressive disorders (everyone); 1 484 ;;2003; 1 611 410 403 ; 4 670 891 364 ; 1 011 019 145 ; 6 282 301 767 ;16,1 %;62,7 %;21,6 %
1990;Prevalence of depressive disorders (everyone); 798 342 ;;2004; 1 611 410 403 ; 4 670 891 364 ; 1 028 856 170 ; 6 282 301 767 ;16,4 %;63,8 %;22,0 %
1991;Prevalence of depressive disorders (everyone); 823 353 ;;2005; 1 352 824 439 ; 5 166 811 411 ; 1 046 630 228 ; 6 519 635 850 ;16,1 %;77,4 %;20,3 %
1992;Prevalence of depressive disorders (everyone); 848 018 ;;2006; 1 352 824 439 ; 5 166 811 411 ; 1 062 352 905 ; 6 519 635 850 ;16,3 %;78,5 %;20,6 %
1993;Prevalence of depressive disorders (everyone); 872 335 ;;2007; 1 352 824 439 ; 5 166 811 411 ; 1 075 253 827 ; 6 519 635 850 ;16,5 %;79,5 %;20,8 %
1994;Prevalence of depressive disorders (everyone); 896 513 ;;2008; 1 223 559 278 ; 5 540 173 601 ; 1 087 041 440 ; 6 763 732 879 ;16,1 %;88,8 %;19,6 %
1995;Prevalence of depressive disorders (everyone); 921 007 ;;2009; 1 223 559 278 ; 5 540 173 601 ; 1 099 780 003 ; 6 763 732 879 ;16,3 %;89,9 %;19,9 %
1996;Prevalence of depressive disorders (everyone); 944 797 ;;2010; 1 090 738 722 ; 5 838 986 321 ; 1 115 296 615 ; 6 929 725 043 ;16,1 %;102,3 %;19,1 %
1997;Prevalence of depressive disorders (everyone); 966 955 ;;2011; 962 943 534 ; 6 050 483 518 ; 1 133 257 483 ; 7 013 427 052 ;16,2 %;117,7 %;18,7 %
1998;Prevalence of depressive disorders (everyone); 989 198 ;;2012; 908 480 058 ; 6 189 020 395 ; 1 151 323 220 ; 7 097 500 453 ;16,2 %;126,7 %;18,6 %
1999;Prevalence of depressive disorders (everyone); 1 011 359 ;;2013; 794 920 051 ; 6 302 580 402 ; 1 169 486 367 ; 7 097 500 453 ;16,5 %;147,1 %;18,6 %
2000;Prevalence of depressive disorders (everyone); 1 034 506 ;;2014; 794 920 051 ; 6 302 580 402 ; 1 187 704 906 ; 7 097 500 453 ;16,7 %;149,4 %;18,8 %
2001;Prevalence of depressive disorders (everyone); 1 059 000 ;;2015; 733 477 316 ; 6 615 994 784 ; 1 205 758 259 ; 7 349 472 100 ;16,4 %;164,4 %;18,2 %
2002;Prevalence of depressive disorders (everyone); 1 083 738 ;;2016; 733 477 316 ; 6 615 994 784 ; 1 224 028 832 ; 7 349 472 100 ;16,7 %;166,9 %;18,5 %
2003;Prevalence of depressive disorders (everyone); 1 108 454 ;;2017; 733 477 316 ; 6 615 994 784 ; 1 242 504 017 ; 7 349 472 100 ;16,9 %;169,4 %;18,8 %
2004;Prevalence of depressive disorders (everyone); 1 133 030 ;;Total général; 35 485 183 692 ; 79 403 809 887 ; 28 506 820 184 ; 114 888 993 580 ;24,8 %;80,3 %;35,9 %
2005;Prevalence of depressive disorders (everyone); 1 157 778 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 1 181 776 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 1 205 206 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 1 228 422 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 1 252 807 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 278 739 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 307 083 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 337 072 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 370 141 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 402 509 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 434 280 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 464 577 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 497 247 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 2 162 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 2 348 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 2 469 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 2 615 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 2 605 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 2 595 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 2 624 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 2 659 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 2 686 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 2 690 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 2 688 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 2 713 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 2 759 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 2 959 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 3 136 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 3 205 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 3 308 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 3 391 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 3 449 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 3 448 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 3 462 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 3 208 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 3 124 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 3 124 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 3 169 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 3 217 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 3 246 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 3 339 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 312 099 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 323 462 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 335 401 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 347 568 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 360 015 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 372 958 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 386 332 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 399 778 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 413 757 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 427 804 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 443 361 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 459 683 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 476 464 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 494 259 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 512 435 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 531 669 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 551 630 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 571 709 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 592 607 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 613 960 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 637 275 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 661 808 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 687 304 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 714 148 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 741 377 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 770 606 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 800 518 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 832 599 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 1 432 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 1 451 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 1 476 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 1 507 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 1 546 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 1 590 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 1 641 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 1 695 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 1 752 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 1 808 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 1 865 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 1 920 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 1 971 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 2 017 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 2 060 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 2 099 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 2 132 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 2 160 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 2 184 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 2 208 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 2 233 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 2 262 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 2 291 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 2 320 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 2 351 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 2 382 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 2 416 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 2 448 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 1 084 989 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 1 102 674 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 1 120 037 ;;;;;;;;;
